customer_id,dob,country,identity_proof,address_proof,income_proof,kyc_status,risk_score,risk_grp,pep,adverse_media,sanctions,onboard,created_at,,
1022,1/19/1991,USA,Birth Certificate,House Purchase Deed,Income Tax Return,Verified,45,Low,No,No,No,Yes,6/11/2024,,
1023,3/28/1989,USA,Passport,Credit Card Statement,Paystub,Verified,74,Low,No,No,No,Yes,6/13/2024,,
1024,2/22/1986,USA,Passport,Credit Card Statement,Bank Statement,Verified,81,Medium,No,No,No,Yes,2/18/2024,,
1025,10/7/1992,USA,Driver License,Utility Bill,Paystub,Verified,30,Low,No,No,No,Yes,6/17/2024,,
1026,3/16/1985,USA,Social Security Card,Utility Bill,Bank Statement,Verified,1,Low,No,No,No,Yes,9/16/2023,,
1027,11/10/1991,USA,Birth Certificate,Rental/Lease Agreement,Paystub,Verified,43,Low,No,No,No,Yes,1/22/2024,,
1028,6/1/1978,USA,Social Security Card,Utility Bill,Paystub,Verified,29,Low,No,No,No,Yes,10/21/2023,,
1029,6/26/1992,USA,Driver License,Bank Statement,Bank Statement,Pending,None,None,No,No,No,No,6/26/2024,,
1030,3/23/1978,USA,Birth Certificate,Credit Card Statement,Income Tax Return,Verified,4,Low,No,No,No,Yes,2/24/2023,,
1031,10/6/1991,USA,Social Security Card,Utility Bill,Paystub,Verified,46,Low,No,No,No,Yes,11/26/2023,,
1032,5/31/1987,USA,Social Security Card,Utility Bill,Bank Statement,Verified,95,High,No,No,No,Yes,1/29/2024,,
1033,4/26/1988,USA,Social Security Card,House Purchase Deed,Bank Statement,Verified,47,Low,No,No,No,Yes,8/5/2023,,
1034,12/5/1988,USA,Driver License,Rental/Lease Agreement,Paystub,Verified,31,Low,No,No,No,Yes,12/20/2023,,
1035,10/8/1990,USA,Driver License,House Purchase Deed,Paystub,Pending,None,None,No,No,No,No,6/23/2024,,
1036,1/11/1983,USA,Passport,Utility Bill,Bank Statement,Verified,85,Medium,Yes,No,No,Yes,6/10/2024,,
1037,11/16/1984,USA,Passport,Credit Card Statement,Paystub,Pending,None,None,No,No,No,No,6/24/2024,,
1038,9/19/1982,USA,Social Security Card,Rental/Lease Agreement,Paystub,Verified,55,Low,No,No,No,Yes,3/11/2023,,
1039,9/16/1990,USA,Driver License,Bank Statement,Paystub,Verified,44,Low,No,No,No,Yes,1/27/2023,,
1040,10/30/1992,USA,Social Security Card,Rental/Lease Agreement,Bank Statement,Verified,73,Low,No,No,No,Yes,11/7/2023,,
1041,11/11/1985,USA,Birth Certificate,House Purchase Deed,Income Tax Return,Verified,89,Medium,No,No,No,Yes,2/17/2024,,
1042,7/31/1986,China,Passport,Utility Bill,Bank Statement,Verified,45,Low,No,Yes,No,Yes,4/26/2023,,
1043,11/10/1990,UK,Passport,Rental/Lease Agreement,Bank Statement,Pending,None,None,No,No,No,No,6/24/2024,,
1044,10/1/1984,Russia,Passport,Rental/Lease Agreement,Income Tax Return,Verified,30,Low,No,No,Yes,No,3/23/2024,,
1045,5/3/1989,China,Passport,Bank Statement,Bank Statement,Verified,95,High,No,No,No,Yes,6/8/2024,,
1046,11/19/1993,USA,Social Security Card,House Purchase Deed,Income Tax Return,Verified,35,Low,No,No,No,Yes,7/4/2023,,
1047,3/19/1992,USA,Passport,Bank Statement,Income Tax Return,Verified,75,Low,No,No,No,Yes,10/23/2023,,
1048,12/18/1982,USA,Birth Certificate,House Purchase Deed,Bank Statement,Verified,78,Low,No,No,No,Yes,6/7/2023,,
1049,5/28/1990,USA,Passport,Rental/Lease Agreement,Income Tax Return,Verified,73,Low,No,No,No,Yes,5/21/2024,,
1050,10/3/1992,USA,Social Security Card,Bank Statement,Paystub,Verified,63,Low,No,No,No,Yes,2/15/2023,,
1051,6/1/1982,USA,Passport,Bank Statement,Paystub,Verified,81,Medium,No,No,No,Yes,1/18/2023,,
1052,4/19/1978,Brazil,Passport,Credit Card Statement,Paystub,Failed,None,None,No,No,No,No,6/25/2024,,
1053,7/3/1982,USA,Birth Certificate,Bank Statement,Bank Statement,Verified,94,High,No,No,No,Yes,5/29/2024,,
1054,8/13/1979,USA,Driver License,Credit Card Statement,Paystub,Pending,None,None,No,No,No,No,6/24/2024,,
1055,4/13/1985,USA,Driver License,House Purchase Deed,Income Tax Return,Verified,45,Low,No,No,No,Yes,7/19/2023,,
1056,10/8/1979,USA,Driver License,Credit Card Statement,Bank Statement,Verified,96,High,No,No,No,Yes,6/1/2024,,
1057,9/27/1981,USA,Birth Certificate,Bank Statement,Bank Statement,Verified,22,Low,No,No,No,Yes,6/17/2024,,
1058,8/15/1993,USA,Driver License,Bank Statement,Income Tax Return,Verified,59,Low,Yes,Yes,No,Yes,8/21/2023,,
1059,5/10/1979,USA,Driver License,House Purchase Deed,Bank Statement,Verified,75,Low,No,No,No,Yes,1/24/2024,,
1060,8/24/1994,USA,Passport,Utility Bill,Bank Statement,Verified,53,Low,No,No,No,Yes,8/13/2023,,
1061,10/10/1995,USA,Driver License,Bank Statement,Income Tax Return,Verified,0,Low,No,No,No,Yes,3/20/2023,,
1062,8/15/1986,USA,Social Security Card,Utility Bill,Bank Statement,Incomplete,None,None,No,No,No,No,6/28/2024,,
1063,11/14/1990,USA,Driver License,Rental/Lease Agreement,Paystub,Verified,95,High,No,No,No,Yes,2/17/2023,,
1064,8/20/1982,USA,Driver License,Utility Bill,Paystub,Verified,37,Low,No,No,No,Yes,6/7/2024,,
1065,8/24/1990,USA,Social Security Card,Utility Bill,Income Tax Return,Incomplete,None,None,No,No,No,No,6/28/2024,,
1066,12/19/1983,USA,Birth Certificate,House Purchase Deed,Income Tax Return,Verified,63,Low,No,No,No,Yes,7/24/2023,,
1067,9/7/1985,USA,Birth Certificate,Rental/Lease Agreement,Income Tax Return,Verified,52,Low,No,No,No,Yes,1/30/2024,,
1068,7/2/1989,USA,Passport,House Purchase Deed,Paystub,Incomplete,None,None,No,No,No,No,6/24/2024,,
1069,1/8/1988,USA,Birth Certificate,Credit Card Statement,Income Tax Return,Pending,None,None,No,No,No,No,6/23/2024,,
1070,6/14/1982,USA,Social Security Card,Bank Statement,Income Tax Return,Incomplete,None,None,No,No,No,No,6/23/2024,,
1071,9/30/1982,USA,Social Security Card,Rental/Lease Agreement,Paystub,Verified,86,Medium,No,Yes,No,Yes,6/10/2024,,
1072,7/20/1983,USA,Birth Certificate,Utility Bill,Bank Statement,Failed,None,None,No,No,No,No,6/23/2024,,
1073,11/20/1986,China,Passport,House Purchase Deed,Paystub,Verified,9,Low,No,No,No,Yes,5/5/2023,,
1074,2/9/1984,UAE,Passport,Credit Card Statement,Paystub,Verified,67,Low,No,No,No,Yes,4/15/2023,,
1075,2/24/1989,UK,Passport,Credit Card Statement,Income Tax Return,Verified,0,Low,No,No,No,Yes,5/8/2024,,
1076,11/18/1981,UAE,Passport,House Purchase Deed,Bank Statement,Verified,95,High,No,No,No,Yes,6/3/2024,,
1077,11/26/1979,USA,Social Security Card,Bank Statement,Bank Statement,Verified,80,Low,No,No,No,Yes,5/3/2023,,
1078,9/30/1980,USA,Social Security Card,Credit Card Statement,Paystub,Failed,None,None,No,No,No,No,6/20/2024,,
1079,1/27/1991,USA,Social Security Card,House Purchase Deed,Bank Statement,Pending,None,None,No,No,No,No,6/27/2024,,
1080,1/9/1983,USA,Birth Certificate,Bank Statement,Paystub,Incomplete,None,None,No,No,No,No,6/23/2024,,
1081,4/13/1979,USA,Driver License,Rental/Lease Agreement,Paystub,Verified,100,High,No,No,No,Yes,2/18/2023,,
1082,11/5/1984,USA,Driver License,Credit Card Statement,Bank Statement,Verified,78,Low,No,No,No,Yes,4/6/2023,,
1083,5/1/1988,USA,Driver License,Utility Bill,Bank Statement,Incomplete,None,None,No,No,No,No,6/25/2024,,
1084,4/25/1979,USA,Social Security Card,Credit Card Statement,Income Tax Return,Verified,59,Low,No,No,No,Yes,5/7/2023,,
1085,3/3/1989,USA,Passport,House Purchase Deed,Bank Statement,Verified,23,Low,No,No,No,Yes,1/30/2024,,
1086,9/19/1983,USA,Driver License,Rental/Lease Agreement,Income Tax Return,Verified,78,Low,No,No,No,Yes,4/15/2024,,
1087,1/1/1980,USA,Birth Certificate,Rental/Lease Agreement,Paystub,Verified,72,Low,No,No,No,Yes,5/24/2024,,
1088,1/31/1987,USA,Social Security Card,Utility Bill,Income Tax Return,Verified,53,Low,No,No,No,Yes,8/6/2023,,
1089,9/21/1981,USA,Birth Certificate,House Purchase Deed,Bank Statement,Verified,60,Low,No,No,No,Yes,2/1/2023,,
1090,2/24/1989,USA,Passport,Bank Statement,Paystub,Verified,63,Low,No,No,No,Yes,6/25/2023,,
1091,6/15/1990,USA,Driver License,Bank Statement,Paystub,Verified,74,Low,No,No,No,Yes,3/31/2024,,
1092,9/4/1984,USA,Birth Certificate,Rental/Lease Agreement,Bank Statement,Verified,95,High,No,No,No,Yes,2/26/2023,,
1093,3/4/1989,USA,Driver License,Utility Bill,Paystub,Verified,79,Low,No,No,No,Yes,4/27/2023,,
1094,9/27/1988,USA,Passport,House Purchase Deed,Bank Statement,Verified,57,Low,Yes,Yes,No,Yes,4/21/2023,,
1095,3/16/1993,USA,Driver License,Utility Bill,Bank Statement,Verified,64,Low,No,No,No,Yes,1/9/2024,,
1096,4/6/1987,USA,Passport,Rental/Lease Agreement,Bank Statement,Verified,10,Low,No,No,No,Yes,1/25/2024,,
1097,12/5/1981,USA,Driver License,Rental/Lease Agreement,Paystub,Verified,0,Low,No,No,No,Yes,2/25/2024,,
1098,8/25/1994,USA,Driver License,House Purchase Deed,Paystub,Verified,26,Low,No,No,No,Yes,3/31/2023,,
1099,4/23/1994,USA,Social Security Card,Rental/Lease Agreement,Bank Statement,Verified,75,Low,No,No,No,Yes,5/7/2024,,
1100,12/10/1982,USA,Driver License,Credit Card Statement,Income Tax Return,Verified,81,Medium,No,No,No,Yes,6/15/2023,,
1101,1/26/1990,USA,Social Security Card,Bank Statement,Paystub,Verified,92,High,No,No,No,Yes,2/2/2023,,
1102,3/16/1990,USA,Social Security Card,Rental/Lease Agreement,Paystub,Verified,65,Low,No,No,No,Yes,9/6/2023,,
1103,2/13/1984,USA,Driver License,Rental/Lease Agreement,Paystub,Verified,88,Medium,No,No,No,Yes,4/17/2024,,
1104,7/22/1980,USA,Driver License,House Purchase Deed,Bank Statement,Verified,67,Low,No,No,No,Yes,1/2/2024,,
1105,9/13/1981,USA,Social Security Card,Utility Bill,Bank Statement,Verified,90,Medium,No,No,No,Yes,5/31/2023,,
1106,2/21/1983,USA,Driver License,Bank Statement,Paystub,Verified,73,Low,No,No,No,Yes,2/18/2023,,
1107,8/2/1984,USA,Driver License,Bank Statement,Income Tax Return,Verified,54,Low,No,No,No,Yes,1/27/2024,,
1108,7/21/1984,USA,Passport,Rental/Lease Agreement,Paystub,Verified,60,Low,No,No,No,Yes,9/3/2023,,
1109,2/9/1980,USA,Driver License,Rental/Lease Agreement,Paystub,Verified,40,Low,No,No,No,Yes,5/7/2024,,
1110,6/12/1990,USA,Driver License,Credit Card Statement,Income Tax Return,Verified,69,Low,No,No,No,Yes,4/1/2024,,
1111,7/10/1991,USA,Driver License,Credit Card Statement,Paystub,Verified,2,Low,No,No,No,Yes,10/18/2023,,
1112,11/1/1985,USA,Passport,Credit Card Statement,Income Tax Return,Verified,59,Low,No,No,No,Yes,1/24/2024,,
1113,7/17/1988,USA,Driver License,Utility Bill,Paystub,Verified,36,Low,No,No,No,Yes,2/13/2024,,
1114,5/16/1991,USA,Social Security Card,Bank Statement,Bank Statement,Verified,28,Low,No,No,No,Yes,2/9/2023,,
1115,2/27/1993,USA,Social Security Card,Bank Statement,Paystub,Verified,85,Medium,No,No,No,Yes,4/18/2023,,
1116,10/4/1987,USA,Birth Certificate,Bank Statement,Bank Statement,Verified,69,Low,No,No,No,Yes,3/27/2024,,
1117,9/5/1988,USA,Social Security Card,Credit Card Statement,Paystub,Verified,53,Low,No,No,No,Yes,1/6/2024,,
1118,8/16/1981,USA,Driver License,Utility Bill,Bank Statement,Verified,43,Low,No,No,No,Yes,1/17/2024,,
1119,5/14/1979,USA,Social Security Card,Utility Bill,Paystub,Verified,83,Medium,No,No,No,Yes,9/17/2023,,
1120,7/10/1991,USA,Passport,House Purchase Deed,Bank Statement,Verified,32,Low,No,No,No,Yes,4/28/2024,,
1121,4/29/1983,USA,Driver License,Credit Card Statement,Bank Statement,Verified,13,Low,No,No,No,Yes,4/26/2023,,
1122,1/19/1987,USA,Driver License,House Purchase Deed,Income Tax Return,Verified,75,Low,No,No,No,Yes,2/16/2023,,
1123,10/28/1987,USA,Driver License,Utility Bill,Income Tax Return,Verified,57,Low,No,No,No,Yes,5/1/2024,,
1124,6/8/1984,USA,Passport,House Purchase Deed,Income Tax Return,Verified,53,Low,No,No,No,Yes,1/25/2024,,
1125,7/16/1991,USA,Passport,Rental/Lease Agreement,Income Tax Return,Verified,26,Low,No,No,No,Yes,4/22/2024,,
1126,8/17/1989,USA,Social Security Card,Rental/Lease Agreement,Income Tax Return,Verified,73,Low,No,No,No,Yes,10/30/2023,,
1127,9/24/1984,USA,Driver License,House Purchase Deed,Income Tax Return,Verified,59,Low,No,No,No,Yes,1/12/2024,,
1128,5/27/1991,USA,Birth Certificate,House Purchase Deed,Paystub,Verified,86,Medium,No,No,No,Yes,7/22/2023,,
1129,10/13/1979,USA,Passport,Rental/Lease Agreement,Paystub,Verified,81,Medium,No,No,No,Yes,6/1/2023,,
1130,2/10/1995,USA,Passport,Rental/Lease Agreement,Income Tax Return,Verified,89,Medium,No,No,No,Yes,2/26/2023,,
1131,4/16/1985,USA,Social Security Card,Bank Statement,Bank Statement,Verified,87,Medium,No,No,No,Yes,1/12/2023,,
1132,7/3/1985,USA,Driver License,Bank Statement,Bank Statement,Verified,42,Low,No,No,No,Yes,2/29/2024,,
1133,7/26/1986,USA,Social Security Card,House Purchase Deed,Income Tax Return,Verified,55,Low,No,No,No,Yes,8/31/2023,,
1134,10/3/1993,USA,Social Security Card,Credit Card Statement,Bank Statement,Verified,14,Low,No,No,No,Yes,4/2/2024,,
1135,10/7/1991,USA,Driver License,Credit Card Statement,Bank Statement,Verified,58,Low,No,No,No,Yes,11/22/2023,,
1136,4/6/1986,USA,Driver License,Credit Card Statement,Bank Statement,Verified,55,Low,No,No,No,Yes,5/16/2023,,
1137,9/30/1993,USA,Birth Certificate,Credit Card Statement,Bank Statement,Verified,40,Low,No,No,No,Yes,10/23/2023,,
1138,8/12/1981,USA,Birth Certificate,House Purchase Deed,Paystub,Verified,40,Low,No,No,No,Yes,3/22/2023,,
1139,5/13/1978,USA,Social Security Card,Rental/Lease Agreement,Paystub,Verified,60,Low,No,No,No,Yes,7/29/2023,,
1140,3/27/1980,USA,Social Security Card,House Purchase Deed,Income Tax Return,Verified,32,Low,No,No,No,Yes,8/17/2023,,
1141,8/28/1982,USA,Birth Certificate,Credit Card Statement,Paystub,Verified,94,High,No,No,No,Yes,6/1/2023,,
1142,1/20/1981,USA,Driver License,Rental/Lease Agreement,Income Tax Return,Verified,72,Low,No,No,No,Yes,8/17/2023,,
1143,6/14/1990,China,Passport,Bank Statement,Income Tax Return,Verified,5,Low,No,No,Yes,No,3/14/2024,,
1144,3/13/1987,UAE,Passport,Credit Card Statement,Paystub,Verified,50,Low,No,Yes,No,Yes,7/20/2023,,
1145,8/21/1991,USA,Driver License,Credit Card Statement,Income Tax Return,Verified,22,Low,No,No,No,Yes,2/8/2024,,
1146,1/9/1984,USA,Birth Certificate,Utility Bill,Paystub,Verified,32,Low,No,No,No,Yes,2/18/2024,,
1147,3/11/1979,USA,Social Security Card,Rental/Lease Agreement,Bank Statement,Verified,41,Low,No,No,No,Yes,11/20/2023,,
1148,1/28/1979,USA,Birth Certificate,Utility Bill,Paystub,Verified,22,Low,No,No,No,Yes,3/31/2024,,
1149,8/29/1988,USA,Social Security Card,House Purchase Deed,Income Tax Return,Verified,38,Low,No,No,No,Yes,8/15/2023,,
1150,5/2/1987,USA,Driver License,Utility Bill,Paystub,Verified,2,Low,No,No,No,Yes,5/7/2024,,
1151,11/20/1978,USA,Passport,Bank Statement,Paystub,Verified,59,Low,No,No,No,Yes,4/13/2024,,
1152,4/23/1993,USA,Passport,Credit Card Statement,Bank Statement,Verified,42,Low,No,No,No,Yes,2/17/2024,,
1153,11/8/1993,USA,Passport,House Purchase Deed,Income Tax Return,Verified,43,Low,No,No,No,Yes,2/2/2024,,
1154,3/25/1983,USA,Driver License,Utility Bill,Paystub,Verified,17,Low,No,No,No,Yes,1/19/2024,,
1155,9/14/1982,USA,Driver License,House Purchase Deed,Bank Statement,Verified,98,High,No,No,No,Yes,1/3/2024,,
1156,2/16/1985,USA,Social Security Card,Bank Statement,Bank Statement,Verified,0,Low,No,No,No,Yes,11/27/2023,,
1157,5/25/1992,USA,Passport,Rental/Lease Agreement,Paystub,Verified,14,Low,No,No,No,Yes,3/19/2024,,
1158,2/23/1987,USA,Passport,Bank Statement,Income Tax Return,Verified,12,Low,No,No,No,Yes,7/22/2023,,
1159,7/2/1984,USA,Driver License,Utility Bill,Bank Statement,Verified,79,Low,No,No,No,Yes,1/19/2024,,
1160,3/15/1981,USA,Social Security Card,House Purchase Deed,Paystub,Incomplete,None,None,No,No,No,No,6/27/2024,,
1161,2/12/1978,USA,Social Security Card,Rental/Lease Agreement,Bank Statement,Verified,89,Medium,No,No,No,Yes,3/17/2024,,
1162,5/9/1988,USA,Passport,Utility Bill,Bank Statement,Verified,90,Medium,No,No,No,Yes,4/28/2024,,
1163,10/3/1984,USA,Driver License,Credit Card Statement,Bank Statement,Verified,43,Low,No,No,No,Yes,10/6/2023,,
1164,3/14/1985,USA,Driver License,House Purchase Deed,Paystub,Verified,73,Low,No,No,No,Yes,8/16/2023,,
1165,11/12/1994,USA,Passport,House Purchase Deed,Paystub,Verified,79,Low,No,No,No,Yes,7/16/2023,,
1166,8/10/1983,USA,Social Security Card,House Purchase Deed,Income Tax Return,Verified,69,Low,No,No,No,Yes,8/22/2023,,
1167,9/23/1987,USA,Driver License,Utility Bill,Income Tax Return,Verified,76,Low,No,No,No,Yes,4/12/2024,,
1168,11/10/1991,USA,Passport,Utility Bill,Income Tax Return,Verified,58,Low,No,No,No,Yes,3/12/2024,,
1169,4/24/1985,USA,Passport,Credit Card Statement,Paystub,Verified,19,Low,No,No,No,Yes,3/30/2024,,
1170,3/30/1987,USA,Driver License,Rental/Lease Agreement,Bank Statement,Verified,37,Low,No,No,No,Yes,10/24/2023,,
1171,11/23/1993,USA,Birth Certificate,Credit Card Statement,Income Tax Return,Verified,76,Low,No,No,No,Yes,2/24/2024,,
1172,4/25/1986,USA,Passport,Credit Card Statement,Paystub,Verified,18,Low,No,No,No,Yes,6/20/2024,,
1173,6/3/1984,USA,Driver License,House Purchase Deed,Bank Statement,Verified,17,Low,No,No,No,Yes,3/25/2024,,
1174,10/17/1987,USA,Passport,House Purchase Deed,Income Tax Return,Verified,47,Low,No,No,No,Yes,12/7/2023,,
1175,12/22/1987,USA,Driver License,Bank Statement,Paystub,Verified,27,Low,No,No,No,Yes,3/25/2024,,
1176,3/26/1992,USA,Birth Certificate,Credit Card Statement,Paystub,Verified,56,Low,No,No,No,Yes,12/28/2023,,
1177,12/28/1989,USA,Driver License,House Purchase Deed,Income Tax Return,Verified,24,Low,No,No,No,Yes,7/13/2023,,
1178,10/23/1992,USA,Social Security Card,Credit Card Statement,Income Tax Return,Verified,25,Low,No,No,No,Yes,5/9/2024,,
1179,3/6/1989,USA,Birth Certificate,Bank Statement,Bank Statement,Incomplete,None,None,No,No,No,No,6/12/2024,,
1180,10/28/1979,USA,Driver License,House Purchase Deed,Bank Statement,Verified,54,Low,No,No,No,Yes,1/30/2024,,
1181,8/23/1985,USA,Driver License,House Purchase Deed,Paystub,Verified,28,Low,No,No,No,Yes,2/4/2024,,
1182,11/28/1987,USA,Driver License,Utility Bill,Income Tax Return,Verified,31,Low,No,No,No,Yes,1/25/2024,,
1183,1/30/1978,USA,Birth Certificate,Rental/Lease Agreement,Income Tax Return,Verified,76,Low,No,No,No,Yes,12/1/2023,,
1184,9/12/1980,USA,Birth Certificate,Credit Card Statement,Paystub,Verified,43,Low,No,No,No,Yes,3/2/2024,,
1185,10/12/1981,USA,Driver License,Credit Card Statement,Paystub,Verified,54,Low,No,No,No,Yes,2/17/2024,,
1186,6/6/1993,Russia,Passport,Rental/Lease Agreement,Income Tax Return,Verified,68,Low,No,No,Yes,No,2/27/2024,,
1187,8/8/1995,USA,Social Security Card,Bank Statement,Income Tax Return,Verified,96,High,No,No,No,Yes,4/6/2024,,
1188,10/23/1986,USA,Driver License,Credit Card Statement,Income Tax Return,Verified,47,Low,No,No,No,Yes,12/25/2023,,
1189,3/8/1981,USA,Passport,Rental/Lease Agreement,Paystub,Verified,9,Low,No,No,No,Yes,5/15/2024,,
1190,12/22/1980,USA,Social Security Card,Credit Card Statement,Paystub,Verified,75,Low,No,No,No,Yes,2/18/2024,,
1191,6/15/1978,USA,Passport,Bank Statement,Paystub,Verified,22,Low,No,No,No,Yes,9/8/2023,,
1192,4/16/1989,Russia,Passport,Utility Bill,Income Tax Return,Verified,76,Low,No,No,Yes,No,8/25/2023,,
1193,9/2/1991,Russia,Passport,Utility Bill,Paystub,Verified,52,Low,No,No,No,Yes,2/28/2024,,
1194,1/22/1992,USA,Passport,Credit Card Statement,Income Tax Return,Verified,22,Low,No,No,No,Yes,1/28/2024,,
1195,9/2/1982,Russia,Passport,Rental/Lease Agreement,Paystub,Verified,5,Low,No,No,No,Yes,2/1/2024,,
1196,4/28/1979,China,Passport,House Purchase Deed,Bank Statement,Verified,80,Low,No,No,No,Yes,1/3/2024,,
1197,8/14/1986,Russia,Passport,Credit Card Statement,Bank Statement,Pending,None,None,Yes,No,No,No,6/15/2024,,
1198,3/8/1992,UK,Passport,Credit Card Statement,Bank Statement,Verified,75,Low,No,No,No,Yes,9/6/2023,,
1199,2/14/1978,Russia,Passport,Bank Statement,Bank Statement,Pending,None,None,No,Yes,No,No,6/18/2024,,
1199,9/10/1986,UAE,Passport,Bank Statement,Bank Statement,Verified,92,High,No,No,No,Yes,3/22/2024,,
1199,11/12/1995,China,Passport,Bank Statement,Bank Statement,Verified,71,Low,No,No,No,Yes,3/28/2024,,
1199,2/26/1990,Russia,Passport,Credit Card Statement,Paystub,Verified,18,Low,No,No,No,Yes,10/7/2023,,
1199,12/29/1990,USA,Passport,Utility Bill,Paystub,Verified,88,Medium,No,No,No,Yes,12/6/2023,,
1199,12/11/1991,USA,Driver License,Utility Bill,Bank Statement,Verified,59,Low,No,No,No,Yes,10/5/2023,,
1199,4/30/1993,USA,Passport,House Purchase Deed,Bank Statement,Verified,17,Low,No,No,No,Yes,1/18/2024,,
1199,1/31/1990,USA,Driver License,Utility Bill,Income Tax Return,Verified,98,High,No,No,No,Yes,5/30/2024,,
1199,4/4/1989,USA,Driver License,Credit Card Statement,Income Tax Return,Verified,64,Low,No,No,No,Yes,11/23/2023,,
1199,8/20/1985,USA,Birth Certificate,House Purchase Deed,Paystub,Verified,7,Low,No,No,No,Yes,2/1/2024,,
1199,3/25/1981,USA,Driver License,House Purchase Deed,Income Tax Return,Verified,62,Low,No,No,No,Yes,5/13/2024,,
1199,9/15/1983,USA,Birth Certificate,Credit Card Statement,Bank Statement,Verified,68,Low,No,No,No,Yes,12/6/2023,,
1199,6/14/1992,USA,Passport,House Purchase Deed,Income Tax Return,Verified,51,Low,No,No,No,Yes,8/27/2023,,
1199,10/10/1978,USA,Social Security Card,Bank Statement,Income Tax Return,Verified,46,Low,No,No,No,Yes,7/30/2023,,
1199,2/17/1980,USA,Social Security Card,Bank Statement,Bank Statement,Verified,15,Low,No,No,No,Yes,10/3/2023,,
1199,9/6/1988,USA,Social Security Card,Utility Bill,Income Tax Return,Verified,52,Low,No,No,No,Yes,7/26/2023,,
1199,1/26/1986,USA,Driver License,Rental/Lease Agreement,Paystub,Verified,24,Low,No,No,No,Yes,12/27/2023,,
1199,1/7/1987,USA,Driver License,Rental/Lease Agreement,Bank Statement,Verified,41,Low,No,No,No,Yes,2/6/2024,,
1199,12/12/1995,USA,Passport,Credit Card Statement,Paystub,Verified,60,Low,No,No,No,Yes,4/27/2024,,
1199,1/12/1989,USA,Driver License,Utility Bill,Bank Statement,Verified,88,Medium,No,No,No,Yes,7/28/2023,,
1199,5/19/1982,USA,Driver License,Utility Bill,Income Tax Return,Verified,73,Low,No,No,No,Yes,4/23/2024,,
1199,8/11/1986,USA,Social Security Card,Credit Card Statement,Income Tax Return,Verified,15,Low,No,No,No,Yes,5/3/2024,,
1199,5/23/1988,USA,Social Security Card,Rental/Lease Agreement,Bank Statement,Verified,38,Low,No,No,No,Yes,11/20/2023,,
1199,2/16/1988,USA,Passport,Credit Card Statement,Income Tax Return,Verified,47,Low,No,No,No,Yes,7/7/2023,,
1199,5/16/1988,USA,Social Security Card,Rental/Lease Agreement,Bank Statement,Verified,36,Low,No,No,No,Yes,1/2/2024,,
